item_name,variants,cuisine,ingredients,type,occasion,description,price_range,dietary_preference,spice_level,serving_style,popularity_score,dish_text
Paneer Butter Masala,['Royal'],Indian (North),[],Dessert,"['Dinner Party', 'Brunch']",Paneer Butter Masala is a popular vegetarian dessert from Indian (North) cuisine.,Standard,Vegetarian,Medium,Live Counter,4.5,Paneer Butter Masala - Paneer Butter Masala is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Dal Tadka,['Classic'],Indian (North),[],Appetizer,"['Baby Shower', 'Wedding', 'Get-together', 'Housewarming']",Dal Tadka is a popular vegetarian appetizer from Indian (North) cuisine.,Premium,Vegetarian,Medium,Buffet,3.8,Dal Tadka - Dal Tadka is a popular vegetarian appetizer from Indian (North) cuisine. (Indian (North))
Vegetable Biryani,['Classic'],Indian (South),[],Main Course,"['Office Party', 'Corporate Lunch', 'Festival', 'Dinner Party']",Vegetable Biryani is a popular vegetarian main course from Indian (South) cuisine.,Standard,Vegetarian,Mild,Live Counter,3.8,Vegetable Biryani - Vegetable Biryani is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Masala Dosa,"['Royal', 'Classic']",Indian (South),[],Main Course,"['Reception', 'Birthday Party']",Masala Dosa is a popular vegetarian main course from Indian (South) cuisine.,Economy,Vegetarian,Mild,Buffet,4.8,Masala Dosa - Masala Dosa is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Chole Bhature,"['Royal', 'Delight']",Indian (North),[],Appetizer,"['Baby Shower', 'Dinner Party', 'Festival']",Chole Bhature is a popular vegetarian appetizer from Indian (North) cuisine.,Luxury,Vegetarian,Spicy,Plated,4.1,Chole Bhature - Chole Bhature is a popular vegetarian appetizer from Indian (North) cuisine. (Indian (North))
Rajma Chawal,"['Express', 'Special']",Indian (North),[],Main Course,"['Wedding', 'Baby Shower', 'Brunch', 'Reception']",Rajma Chawal is a popular vegetarian main course from Indian (North) cuisine.,Standard,Vegetarian,Mild,Buffet,3.6,Rajma Chawal - Rajma Chawal is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Palak Paneer,['Special'],Indian (North),[],Dessert,"['Office Party', 'Brunch']",Palak Paneer is a popular vegetarian dessert from Indian (North) cuisine.,Luxury,Vegetarian,Mild,Plated,4.8,Palak Paneer - Palak Paneer is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Aloo Gobi,['Royal'],Indian (North),[],Main Course,"['Corporate Lunch', 'Housewarming', 'Brunch']",Aloo Gobi is a popular vegetarian main course from Indian (North) cuisine.,Economy,Vegetarian,Medium,Live Counter,4.0,Aloo Gobi - Aloo Gobi is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Baingan Bharta,['Classic'],Indian (North),[],Appetizer,"['Baby Shower', 'Housewarming']",Baingan Bharta is a popular vegetarian appetizer from Indian (North) cuisine.,Economy,Vegetarian,Medium,Buffet,4.6,Baingan Bharta - Baingan Bharta is a popular vegetarian appetizer from Indian (North) cuisine. (Indian (North))
Dhokla,['Classic'],Indian (West),[],Main Course,"['Corporate Lunch', 'Office Party']",Dhokla is a popular vegetarian main course from Indian (West) cuisine.,Economy,Vegetarian,Mild,Live Counter,3.5,Dhokla - Dhokla is a popular vegetarian main course from Indian (West) cuisine. (Indian (West))
